页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,关注数,粉丝数,性别,发布于,ip属地_城市,ip属地_省份,ip属地_国家
3,5.03424E+15,晶澳科技JASolar,2024-5-15 10:24,5月13日，2024年全球贸易投资促进峰会在北京钓鱼台国宾馆举行，国家副主席韩正出席开幕式并致辞。晶澳科技受邀参加峰会，杨爱青执行总裁在“汇聚工商界力量，让‘旧金山愿景’成为‘实景’”平行论坛上发言，倡议全球工商界同舟共济、共谋发展，维护产业链供应链稳定畅通，携手推动实现更加强劲、绿色、健康的全球发展全球贸易投资促进峰会由中国贸促会主办，已连续举办3届。本次峰会主题议题聚焦当前国际经贸发展大势，在“互信与合作：变局中的选择”主题下，全体会议以“打通供应链，打造共赢链”为议题，3节平行论坛分别聚焦“共享中国式现代化机遇，共建更加美好的世界”“汇聚工商界力量，让‘旧金山愿景’成为‘实景’”“点燃人工智能引擎，赋能经济社会发展”。来自39个国家和地区170个中外方机构代表近750名代表参会，包括巴西前总统、新开发银行行长罗塞夫，国际标准化组织（ISO）主席曹诚焕等重要国际组织和经济机构负责人，以及正大、三井、丸红、戴尔、特斯拉、IBM、波音、松下、雅培等知名企业高管参会。作为唯一受邀发言的光伏企业，杨爱青执行总裁在发言中指出，维护全球光伏产业链供应链韧性和稳定是推动全球能源绿色低碳转型的重要保障，符合世界各国人民的利益。晶澳科技正在以实际行动深化光伏产业链供应链国际合作，让低碳、高效的光伏产品更好地惠各国人民。截至目前，晶澳科技面向全球165个国家和地区提供绿色光伏产品及服务，截至2024年一季度，晶澳科技全球产品累计出货量超201GW。杨爱青执行总裁强调，晶澳科技愿同全球工商界一道，把握新一轮科技革命和产业变局新机遇，共同构筑安全稳定、畅通高效、开放包容、互利共赢的全球光伏产业链供应链体系，促进全球经济循环，助力世界经济增长。,2,0,0,72,951,m,上海,上海,上海,中国
3,5.03424E+15,江苏商务,2024-5-15 10:13,#外向型经济#【质升量稳，外贸新动能活力澎湃】前四月货物贸易进出口规模创历史同期新高质升量稳，外贸新动能活力澎湃外贸是拉动经济增长的重要引擎，是畅通国内国际双循环的关键枢纽。习近平总书记指出：“推动外贸创新发展，不断巩固和拓展国际市场。”关键一年，推动外贸质升量稳，是高质量发展和高水平开放的应有之义。今年的《政府工作报告》提出：“推动外贸质升量稳”“促进跨境电商等新业态健康发展，优化海外仓布局，支持加工贸易提档升级，拓展中间品贸易、绿色贸易等新增长点”。质升量稳，外贸新动能活力澎湃,0,0,0,84,4616,m,,南京,江苏,中国
3,5.03399E+15,向-东-方,2024-5-14 17:52,全球贸易投资促进峰会：峰会在北京举行，与会嘉宾看好中国经济未来发展，认为中国供应链在全球中的地位不可替代。会上发布的《2024年全球贸易投资促进峰会北京倡议》呼吁维护产业链供应链稳定畅通，推动产业链供应链优化升级。 ,0,0,0,1194,2053,m,河南,郑州,河南,中国
3,5.03352E+15,中国水运报,2024-5-13 10:31,【航运小知识 | 这些世界航运的咽喉要道你都知道吗？】世界上，有75%的国际贸易都是通过海上运输来完成的，从古至今，人们通过航行发现了许多航运要道，他们的畅通与否关系着全球的经济脉搏。让我们一起来盘点一下吧。苏伊士运河苏伊士运河位于非洲埃及，是世界上使用最频繁的航线之一，同时也是亚洲与非洲、欧洲水路运输来往的主要通道，是亚洲与非洲的交界线。据了解，世界海运贸易额的7%都是通过苏伊士运河。2021年3月，一艘大型集装箱船在苏伊士运河搁浅造成航道拥堵让苏伊士运河世界闻名。搁浅导致苏伊士运河停摆多日，致使全球贸易每天损失60亿至100亿美元。如今，进入苏伊士运河的必经之路红海受到加沙地区武装冲突影响，变得不再安全，导致许多航运公司的货船避而远之。马六甲海峡马六甲海峡的是位于马来半岛与印度尼西亚的苏门答腊岛之间的漫长海峡，通航历史远达两千多年，如今由新加坡、马来西亚和印度尼西亚三国共同管辖。马六甲海峡地理位置极其重要，它是连接沟通太平洋与印度洋的国际水道，是亚、非、欧等沿岸国家往来的重要海上通道，许多发达国家从外国进口的石油和战略物资，都是经过这里运出。对于中国、日本、韩国而言，马六甲海峡是最主要的能源运输通道，被称为“海上生命线”。由于独特的地理位置和航运条件，马六甲海峡也被誉为“海上十字路口”。霍尔木兹海峡霍尔木兹海峡是连接中东地区重要石油产地波斯湾和阿曼湾的狭窄海峡，也是阿拉伯海进出波斯湾的唯一水道。全球大约三分之一的海运原油贸易都要依赖这一海峡。因为石油被称为工业的血液，而中东地区的波斯湾是世界上石油储量最多的地区，并且霍尔木兹海峡是波斯湾到印度洋的唯一出口。所以霍尔木兹海峡一旦受阻，全球的工业将会受到严重影响。拥有如此重要的的经济和战略地位，因此霍尔木兹海峡也被西方誉为“海上生命线”、“世界的油阀”。土耳其海峡土耳其海峡是连接黑海与地中海的唯一通道，它由伊斯坦布尔海峡、马尔马拉海和达达尼尔海峡三部分组成，全长361千米，是亚、欧两洲的分界线。作为西亚、北非和南欧通往黑海的咽喉。这种独特的地理位置，使它成为古往今来兵家的必争之地，战略地位十分重要。土耳其海峡是罗马尼亚、保加利亚、乌克兰等黑海沿岸国家的唯一的出海通道。该峡区全年大部分时间风平浪静，海流缓慢，航运条件优越，海峡年通过船舶约4万艘，为土耳其带来了非常可观的经济收入。巴拿马运河巴拿马运河位于中美洲国家巴拿马，它连接着太平洋和大西洋，是重要的世界航运要道，被誉为世界七大工程奇迹之一的“世界桥梁”。巴拿马运河由美国建造完成，1914年开始通航。现由巴拿马共和国拥有和管理，属于水闸式运河。据资料显示，巴拿马运河2023财年营收为49.68亿美元。巴拿马运河的交通流量是世界贸易的晴雨表，世界经济繁荣时交通量就会上升，经济不景气时就会下降。直布罗陀海峡直布罗陀海峡位于西班牙最南部和非洲西北部之间，是连接地中海和大西洋的唯一通道，和地中海一起构成了欧洲和非洲之间的天然分界线，被誉为西方的“生命线”。由于直布罗陀海峡表层海水的流向永远从西向东流，所以轮船从大西洋驶往地中海，经过直布罗陀海峡时，永远是顺水航行。自苏伊士运河通航后，使得它的战略地位更加重要，成为西欧能源运输的“生命线”，是大西洋与地中海以及印度洋、太平洋间海上交通重要航线。每年通航船只可达十万艘，是国际航运中最繁忙的通道之一。曼德海峡曼德海峡位于阿拉伯半岛西南端和非洲大陆之间，连接红海和亚丁湾、印度洋。自苏伊士运河通航后，成为船舶从大西洋进入地中海，穿过苏伊士运河、红海通印度洋的海上交通必经之地，战略地位极其重要。如今，曼德海峡受到红海危机影响，过往船只均有受到武装威胁的可能性，这也间接导致了苏伊士运河的通航船只减少，许多大型货船为了避免被攻击的风险，选择绕道非洲好望角前往欧洲和地中海。还有哪些世界重要运河，欢迎大家补充。（全媒记者 尹宇龙）,6,13,20,503,288.4万,m,,武汉,湖北,中国
3,5.03372E+15,QuantHedgeFund,2024-5-13 23:38,#量化对冲基金#维护产业链供应链稳定畅通 24年全球贸易投资促进峰会北京倡议发布5月13日讯，2024年全球贸易投资促进峰会在北京举行，峰会以“互信与合作：变局中的选择”为主题，呼吁各国工商界为维护全球产业链供应链稳定顺畅、促进全球经济循环、增进各国人民福祉作出贡献。在2024年全球贸易投资促进峰会上，中国贸促会代表与会工商界发布了《2024年全球贸易投资促进峰会北京倡议》。《倡议》提出，全球工商界要加快推动世界经济复苏，坚定维护以世贸组织为核心的多边贸易体制，完善全球经济治理。维护产业链供应链稳定畅通，加强国际产业分工协作，推动产业链供应链优化升级。（央视新闻）,0,0,0,1625,5.7万,m,广东,东莞,广东,中国
3,5.03348E+15,戎创精武石头哥,2024-5-13 8:06,以“发挥AEO制度优势，促进包容和可持续的全球贸易”为主题，第六届全球“经认证的经营者”（AEO）大会日前在深圳闭幕。作为世界海关组织倡导的认证制度，多国海关携手推动AEO互认合作，更好实现关企互利共赢、全球贸易畅通。 ,0,0,0,77,22,m,内蒙古,包头,内蒙古,中国
3,5.0332E+15,一人一股,2024-5-12 13:45,周末消息有点多1.腾讯和阿里巴巴将于下周二公布一季报，京东和百度将于周四公布2.畅通货币政策传导机制，避免资金沉淀空转3.IPO恢复常态化审核 马可波罗 宝隆汽车4.美将37家中国公司实体 列入贸易限制清单 美欲新征新能源汽车关税很多人都在教你成功，却没有人教你如何接纳失败 ，让你看到了快 ，就容纳不了慢。失败的 人总在用无数理由给自己失败找借口。这个市场谁也不知道明天怎么样 ，拥有纠错能力 至关重要 ，做错了 ，就是错了。有爱在心中 ，什么时候都是节 ，祝愿：所有的股有们母亲节日快乐 ！多陪陪家人 ，生活不只有股市。,0,0,0,241,14.2万,m,广东,,广东,中国
3,5.03315E+15,高手鉴股V,2024-5-12 10:30,周末消息有点多1.腾讯和阿里巴巴将于下周二公布一季报，京东和百度将于周四公布2.畅通货币政策传导机制，避免资金沉淀空转3.IPO恢复常态化审核 马可波罗 宝隆汽车4.美将37家中国公司实体 列入贸易限制清单 美欲新征新能源汽车关税很多人都在教你成功，却没有人教你如何接纳失败 ，让你看到了快 ，就容纳不了慢。失败的 人总在用无数理由给自己失败找借口。这个市场谁也不知道明天怎么样 ，拥有纠错能力 至关重要 ，做错了 ，就是错了。有爱在心中 ，什么时候都是节 ，祝愿：所有的股有们母亲节日快乐 ！多陪陪家人,0,0,125,633,15万,f,广东,汕头,广东,中国
3,5.03224E+15,月隐寒霜,2024-5-9 22:01,西域各国与大汉王朝，贸易交流频繁，通商线路比较畅通，双方的货物存在流通现象，考古发掘过程里，屡次发现西域以西的物品，最常见是西域琉璃。,1,0,0,1018,13.2万,m,上海,上海,上海,中国
3,5.0318E+15,东方财经浦东,2024-5-8 16:52,【#上海市国际贸易分拨中心 浦东示范企业占比超九成#】国际贸易分拨业务是国际贸易中心的重要载体，对保持国际供应链畅通具有重要意义。日前，市商务委组织开展了2024年上海市国际贸易分拨中心示范企业评定工作，58家企业成功获评。其中，来自浦东的有53家企业，占比达91%，涵盖集成电路、医疗器械、大宗商品、高端消费品等领域。2024年一季度，浦东新区进出口贸易保持增长，完成进出口总额6428.5亿元，占全市比重为62.2%。 东方财经浦东的微博视频,0,0,0,247,4.6万,m,,上海,上海,中国
4,5.03132E+15,飞扬军事铁背心,2024-5-7 9:05,“黑海舰队作为一个据称已被击沉/束之高阁/毫无用处的舰队，似乎的确在黑海地区像发条一样保持着俄罗斯的贸易畅通。  而扬名黑海的乌克兰的海上门户现在是一条与北约成员国共享的跨国界河流。”  飞扬军事 #烽火问鼎计划# #俄乌局势新进展# ,1,2,9,841,83.1万,m,江苏,盐城,江苏,中国
4,5.03007E+15,psuyrf,2024-5-3 22:07,“产能过剩”不过是有的国家精心炮制的话题陷阱，试图以此为由推行贸易保护措施，其结果不仅不能让自身获利，反而会破坏全球产业链供应链稳定畅通，损害世界经济和贸易增长，拖累全球经济绿色转型步伐。 网页链接 ,0,0,0,305,174,m,北京,,北京,中国
4,5.02886E+15,蝌蚪五线谱,2024-4-30 14:12,【中国“产能过剩”？别张嘴就来】#一周科技秀# 西方一些国家政界和媒体近期泛起一股污蔑中国“产能过剩”的论调。仔细观察就会发现，所谓的“产能过剩”本质上是无视逻辑地将经贸问题政治化。而以“产能过剩”为由采取贸易保护措施，不会让自己变得更好，只会破坏产供链稳定畅通，拖累全球经济绿色转型和新兴产业发展，最终害人害己！（科技日报记者 张梦然 张佳欣 王小龙）科技日报的微博视频,0,0,0,514,26.3万,m,,北京,北京,中国
4,5.02877E+15,用户6321945342我的故乡,2024-4-30 8:21,8、5月1日0时至5日24时，收费公路小客车免费通行。9、广州白云区：4个龙卷风受灾村道路恢复畅通，共安置九百余人。10、中国﹣厄瓜多尔自由贸易协定将于2024年5月1日正式生效。11、日元贬值外国游客激增，日本酒店住宿几乎全部提价。12、肯尼亚一座大坝决堤已致至少42人死亡，另有数十人失踪。 ,0,0,0,746,94,f,广东,,广东,中国
4,5.0281E+15,股海峦坊,2024-4-28 11:33,中国贸促会新闻发言人赵萍4月28日在月度例行发布会上介绍，5月13日，中国贸促会将在北京举办2024年全球贸易投资促进峰会。目前，已有33个国家和地区近150家外方机构报名参会。今年峰会将继续发布《2024年全球贸易投资促进峰会北京倡议》，倡议全球工商界同舟共济、共谋发展，维护产业链供应链稳定畅通。,0,0,0,18,5,m,广东,深圳,广东,中国
4,5.02737E+15,钦州交警,2024-4-26 11:26,为维护中国（广西）自由贸易区钦州港片区（以下简称片区）道路交通安全、畅通、有序，提升道路交通管理品质，减少钦州港片区城市核心区域空气污染和扬尘发生······  关于调整中国（广西）自由贸易试验区钦州港片区载货汽车禁限行区域 ,0,0,0,549,22.3万,m,,钦州,广西,中国
4,5.02622E+15,路过十八次,2024-4-23 7:24,宏大叙事的另外一个场景就是在世界贸易大畅通之后，本土的这些基础产能都不会说过剩，而是满足全球物质极大丰富下的发动机。  要完成这个远景，就是中国引领全球实现共同富裕的下一个伟大周期。  功不在我，利在千秋。 ,1,5,79,7,29.2万,m,广东,深圳,广东,中国
4,5.02621E+15,大连普法,2024-4-23 6:35,#振兴新突破辽宁杠杠滴##新时代六地辽宁杠杠滴# 【大连口岸全面打造营商环境示范高地】优化口岸营商环境对支持、促进外贸发展具有重要作用。“十四五”以来，大连口岸聚焦国际一流口岸建设，促进跨境贸易便捷畅通，推动进出口环节降本增效，持续压缩整体通关时间，优化升级通关便利化措施，口岸运行企稳回升，口岸贸易发展持续向好。（文字：大连新闻传媒集团记者秦至） 大连口岸全面打造营商环境示范高地 大连口岸全面打造营商环境示范高地,0,0,0,365,11万,m,,大连,辽宁,中国
4,5.02604E+15,河口融媒,2024-4-22 19:26,【2024年首季度中（河口）—越（老街）交流实现良好开局 多领域合作成果丰硕】山水相连同谋发展，携手并进共创未来。近年来，中国河口深入践行“亲诚惠容”理念，与越南老街不断深化政策沟通、设施联通、贸易畅通、资金融通、民心相通，不断拓展合作领域。2024年一季度，中国河口县与越南老街市开展交流合作12次，其中派出代表团4次，邀请越方代表团来访8次，多领域交流向纵深发展……网页链接,0,0,0,87,1016,f,,红河,云南,中国
4,5.02589E+15,网信沙河口,2024-4-22 9:31,#追寻先烈足迹辽宁在行动##辽宁好网民守法好公民#“十四五”以来，大连口岸聚焦国际一流口岸建设，促进跨境贸易便捷畅通，推动进出口环节降本增效，持续压缩整体通关时间，优化升级通关便利化措施，口岸运行企稳回升，口岸贸易发展持续向好。（大连日报） ,0,0,0,36,45,m,,大连,辽宁,中国
5,5.02563E+15,市场星报,2024-4-21 16:18,【国际物流通道大扩容】4月19日，经合肥海关所属黄山海关监管，一架从曼谷直飞黄山的航班降落屯溪国际机场，这是2020年国际航班停航以来黄山市首架东南亚航线的直航客运航班。再次起航的航班、疾驰的中欧班列、繁忙的港口码头……今年以来，安徽与世界的贸易连接更加繁忙。国际物流体系的稳定畅通是外贸稳增长的重要保障。安徽作为新兴制造业大省和全国外贸十强省，优质产能正在加速丰富全球供给，顺应新的发展需求和阶段性特征，安徽不断畅通“水、陆、空”国际物流大通道，持续打造更具竞争力的内陆开放高地。网页链接 ,0,0,0,1760,300.3万,m,,合肥,安徽,中国
5,5.02521E+15,中国广西政府网,2024-4-20 12:11,【广西充分发挥检察职能 法治护航国内国际双循环市场经营便利地建设】近日，自治区检察院出台《关于充分发挥检察职能服务保障广西加快打造国内国际双循环市场经营便利地的意见》，围绕大力提升投资便利化、贸易便利化、消费便利化、资金流动便利化、人员往来便利化、物流畅通便利化水平，充分发挥检察职能作用，推出系列举措，推进广西高水平开放、高质量发展。网页链接,0,0,0,33,5.7万,m,,南宁,广西,中国
5,5.02482E+15,CATTI译路通,2024-4-19 10:30,"【#CATTI备考重点词汇# 】全球产供链the global industrial and supply chains中方一贯认为，国与国之间开展贸易科技合作应当有利于维护全球产供链稳定畅通，维护自由开放的国际经贸秩序，不应针对第三方或损害第三方利益。We always believe that trade and technology cooperation between countries should be conducive to keeping the global industrial and supply chains stable and unimpeded and to upholding the free and open international trade order, and such cooperation should not target any third party or harm the interests of any third party.",3,2,21,235,115.4万,m,,濮阳,河南,中国
5,5.0245E+15,中国市场监管报,2024-4-18 13:20,【积极服务高水平对外开放 | 总局批准发布159项国家标准外文版】近期，市场监管总局（国家标准委）批准发布159项国家标准外文版，涵盖机械设备、车辆、机器人、消防、地理信息等领域。　　在机械设备领域，有关标准外文版有助于提高我国机械设备产品的国际认可度，促进国际贸易畅通便利，推动国内、国际加强技术交流合作。此次发布的GB/T 34650—2017《全断面隧道掘进机盾构机安全要求》等8项全断面隧道掘进机系列国家标准外文版，填补了国际相关产品标准领域空白，有助于推动隧道工程机械的高性能、高安全性、高精度发展，进一步提升了全断面隧道掘进机产品的国际竞争力。GB/T 28393—2012《道路施工与养护机械设备沥青碎石同步封层车》等3项道路施工与养护机械设备国家标准外文版的发布，有助于国外厂商与用户了解我国在同步加纤、高黏度沥青喷洒、数字导航、精准控制、新能源动力系统等领域的技术优势，提高中国道路施工与养护机械设备在国际市场上的声誉和竞争力，推动我国相关设备出口贸易增长。我国机车牵引变流器产品在复兴号高速动车组、高速高原高寒重载机车、中国标准地铁等多种轨道交通装备中使用，并已在印度尼西亚雅万高铁、中老铁路、南非电力机车等海外项目中应用。此次发布的GB/T 25122.3—2018《轨道交通机车车辆用电力变流器第3部分：机车牵引变流器》等3项牵引变流器系列国家标准外文版，有助于推动我国机车牵引变流器产品被更多国家和地区认可和接受，促进贸易便利化。　　在车辆领域，GB/T 13043—2022《客车定型试验规程》国家标准外文版规定了客车产品定型试验的要求、试验项目、试验方法，填补了国际上针对客车产品安全可靠评价标准的空白，为国际客车行业定型试验提供了方法指导，保障了乘客安全和客户利益，有助于增强中国制造的品牌影响力。　　在机器人领域，有关标准外文版的发布有助于推动我国机器人产品在国际市场获得更广泛的认可与应用，向全球机器人产业贡献中国技术和方案。目前，自动导引车被广泛应用于机械加工、汽车制造、港口货运等行业，在我国市场占有率超过85%。此次发布的GB/T 20721—2022《自动导引车通用技术条件》国家标准外文版可有效支撑我国自动导引车的生产制造、检测认证和用户选型，有助于提升产品国际竞争力，便利国际贸易。（叶昀）,1,0,0,243,32.2万,m,,北京,北京,中国
5,5.0244E+15,夜之殤少,2024-4-18 7:00,【每日一图】 辽·金链竹节形玉盒/辽宁省博物馆藏 公元907年~1125年      南京博物院—玉润中华               中国玉器的万年史诗图卷 辽宁省阜新市塔营子辽塔地宫出土 自公元8世纪以来，伊朗是世界玻璃生产的中心。借助草原丝绸之路以及海上丝绸之路的畅通，大量玻璃器通过贸易和友好往来涌入东方。 ,2,0,4,154,275,f,湖南,邵阳,湖南,中国
5,5.02426E+15,生态梦人,2024-4-17 21:12,#中国产能过剩冲击世界市场是伪命题#  所谓“中国产能过剩冲击世界市场”是伪命题，以“产能过剩”为由采取贸易保护措施，不会让自己变得更好，只会破坏产供链的稳定畅通，拖累全球经济的绿色转型和新兴产业的发展。#外交部回应美欧称中国存在产能过剩##公益同行计划#,1,0,4,19963,283.6万,m,山东,济南,山东,中国
5,5.02424E+15,渔夫遇海,2024-4-17 19:52,#外交部回应美欧称中国存在产能过剩#所谓“中国产能过剩冲击世界市场”是伪命题，以“产能过剩”为由采取贸易保护措施，不会让自己变得更好，只会破坏产供链的稳定畅通，拖累全球经济的绿色转型和新兴产业的发展。这是西方害怕我们的商产品占领其市场而搞得歧视政策！ ,0,1,4,3758,14.5万,m,浙江,宁波,浙江,中国
5,5.02417E+15,广西国际频道,2024-4-17 15:20,中国驻越南大使熊波：广西和越南的贸易畅通会更加便利 #同志加兄弟携手向未来##2024广西媒体越南行##越南# 广西国际频道的微博视频 ,0,0,2,13,22,m,,南宁,广西,中国
5,5.02408E+15,城市交通杂志,2024-4-17 9:43,【雄安新区内陆港揭牌成立】近日，黄骅港雄安新区内陆港在雄安综合保税区揭牌成立。该内陆港将黄骅港的海运、场站、保险、供应链金融、国内国际贸易等港口物流服务功能前置到雄安新区，为雄安新区打造了高效、便捷、经济、稳定的出海运输通道，也为雄安新区和沧州的联动发展畅通了要素流动渠道，开辟了产业联动廊道。网页链接,0,0,0,325,9.3万,f,,北京,北京,中国
