页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,关注数,粉丝数,性别,发布于,ip属地_城市,ip属地_省份,ip属地_国家
3,5.03965E+15,南亚研究通讯,2024-5-30 9:00,印度在恰港：规划虽好，能力却……恰巴哈尔港是连接印度与阿富汗乃至中亚诸国的关键节点，被许多印度战略家与学者称为“博弈改变者”。印度和伊朗近来围绕战略层面的基础设施互联互通动作频频。2017 年 10 月，印度将一船面粉历史性地经由伊朗恰巴哈尔港运抵阿富汗；12 月，印度和伊朗的重点合作项目恰港一期扩建工程宣告竣工；2018 年 1 月，印度经由伊朗、阿塞拜疆、俄罗斯直通欧洲的陆上“国际北南运输走廊”（INSTC）还将进行首次试运行。这一系列举动招致疑问：恰港到底有多少地缘战略价值？印度与伊朗这一系列高调举动的背后有哪些历史因素和现实考虑？南亚 #微博新知#  重磅 | 毛克疾:“密谋”恰巴哈尔港，印度做何战略盘算？,3,8,34,285,19.7万,m,斯里兰卡,,斯里兰卡,斯里兰卡
3,5.03944E+15,Dr_Lee拯救世界,2024-5-29 18:38,No.42 《超级版图：全球供应链、超级城市与新商业文明的崛起》得益于基础设施建设，世界愈加互联互通。 ,0,0,0,134,256,m,江苏,苏州,江苏,中国
3,5.03931E+15,国际商报,2024-5-29 10:26,【市场监管总局面向在华留学生举办“质量基础设施促进互联互通”系列培训】      “质量基础设施促进互联互通”培训班开班式日前在位于杭州的中国计量大学举行。本次培训班在市场监管总局指导下，由市场监管总局发展研究中心与中国计量大学联合举办，主要面向共建“一带一路”国家在华留学生，旨在进一步推动与相关国家在质量基础设施领域的交流与合作。来自阿富汗、巴基斯坦等十余个国家的近百名留学生参加了开班式。为保证培训的权威性、专业性，特邀请相关领域专家进行授课。质量基础设施是推动全球经济可持续发展、促进贸易便利化的重要制度工具。市场监管总局始终致力于构建高效、协同的质量基础设施体系，服务国内经济社会发展大局，促进国际质量基础设施互联互通和全球价值链的优化升级。此次培训班为推进知识共享与技术创新、促进贸易畅通和经济繁荣作出新尝试。,0,1,1,4979,8.6万,f,,北京,北京,中国
3,5.039E+15,-四分三十三秒-,2024-5-28 13:50,#高质量发展看能源#一座座巨型LNG储罐矗立滨海港畔，江苏滨海在绿色低碳新赛道跑出了令人瞩目的高质量发展“加速度”。中海油滨海LNG项目是国家天然气产供储销体系建设及互联互通重点规划项目和国家石油天然气基础设施重点工程项目，拟建成国内规模最大的LNG储备基地，也是全球一次性、批量化建设规模最大的LNG接收站项目。中国海油江苏滨海LNG接收站一期扩建工程6座大型储气罐基本竣工，正在进行氮气置换和管道压力测试，预计6月可以正式投产。其中，单罐容量最大27万立方米，为全球之最。投产后，滨海LNG储量位列全国第一。#高质量发展中国行# 盐城·江苏中海油LNG接收站,32,43,587,854,747.1万,m,江苏,盐城,江苏,中国
3,5.03902E+15,KhmerTimes中文网,2024-5-28 14:42,孙占托：现在是投资柬埔寨最好的时机 他介绍并强调了柬埔寨的投资潜力与优势，包括政治稳定、积极的宏观经济形势、充满活力的劳动力资源、有利的投资制度、积极发展基础设施以及互联互通的发展政策等。  浏览全文点击：孙占托：现在是投资柬埔寨最好的时机 ,1,0,0,210,81,m,柬埔寨,,柬埔寨,柬埔寨
3,5.03869E+15,红领巾sl,2024-5-27 16:55,#高质量发展看能源# 如火如荼建设中的中国海油滨海“绿能港”，列入国家天然气“产供储销”、互联互通重点规划项目、国家石油天然气基础设施重点工程项目，不仅具有液化天然气接收、 储存、 外输功能， 还集燃气发电、 冷能利用、 燃气制氢等多功能于一体， 是综合性绿色清洁能源供应基地和重要的能源枢纽。#高质量发展中国行#,23,23,22,13506,206.4万,m,山东,济南,山东,中国
3,5.03864E+15,盐城发布,2024-5-27 14:03,盐城“绿能港”被列入国家天然气产供储销及互联互通重点规划项目和国家石油天然气基础设施重点工程项目，也是全球范围内一次性建设规模最大的液化天然气接收站项目。,1,0,1,311,24万,m,,盐城,江苏,中国
3,5.03859E+15,中国国际可持续交通创新知识中心,2024-5-27 10:22,【部国际合作司、国际中心与海合会国家参会代表探讨加强可持续交通合作】5月23日至24日，中国—海合会国家产业与投资合作论坛在厦门成功举办。本次论坛旨在落实习近平主席在首届中国—海湾阿拉伯国家合作委员会峰会上提出的重要倡议，积极推动中国与海合会国家的务实合作。部国际合作司司长岑晏青出席#交通基础设施# 、#物流# 和#互联互通# 专题论坛并致辞。岑晏青介绍了中国与海合会国家在交通运输领域合作亮点，提出了积极推动国际物流基础设施“硬联通”、加快实现交通运输制度规则“软联通”以及共同打造交通运输国际合作“新平台”等三点倡议，希望与海合会国家一道，推动交通运输领域合作取得更多务实成果，共同为促进全球特别是海湾地区的稳定与繁荣作出贡献。国际中心副主任谢辉分别与沙特国家工业发展和物流计划常务副总裁贾米尔·阿尔加姆迪，阿布扎比港务集团首席体验官穆罕默德·加里布，卡塔尔航空东区高级副总裁、驻华首席代表马万·库利拉特进行交流，介绍了国际中心及全球可持续交通创新联盟的有关情况，希望与各方在可持续交通创新发展方面开展合作，共同服务中国—海合会国家产业与投资合作。各方均表示重视可持续交通发展，希望与国际中心深化交流，努力在#可持续交通# 领域开展务实合作。,0,0,1,116,1905,m,,北京,北京,中国
3,5.03831E+15,安徽省人民政府网,2024-5-26 15:45,#民生关注#【马鞍山南京合力架设5条跨省供电线路】“牵手”南京，加速融“长”，今年马鞍山市从产业协同、规划对接和基础设施等六个方面提出26项举措。在电力一体化上，马鞍山市近年来规划了一批跨区域供电互联互通项目，建立项目储备库，在当涂县、和县、博望区等县区与南京交界处，陆续建设5条皖苏跨省供电线路，引“近水”解“近渴”。详见→网页链接,0,0,1,192,35.3万,m,,合肥,安徽,中国
3,5.03791E+15,上海证券报,2024-5-25 13:39,#上证快讯# #第七届数字中国建设峰会开幕#【国务院国资委：中央企业云基础设施投资超千亿元】5月25日，第七届数字中国建设峰会·智算云生态大会在福建举行。国务院国资委副主任苟坪表示，近年来，国资央企着力在算力、数据、算法上下功夫，全面“上云”和云上互联互通的步伐逐步加快，有效服务数字经济发展和数字中国建设。国务院国资委：中央企业云基础设施投资超千亿元,3,0,4,496,149.4万,f,,,上海,中国
4,5.0375E+15,澎湃新闻,2024-5-24 10:15,【国安部：海底光缆成个别国家窃取情报、谋求政治利益的工具】#海底光缆成个别国家窃取情报的工具# 深海安全是国家安全的重点领域之一。海底光缆作为全球信息互联互通的关键基础设施，是潜藏万丈深蓝的神经网络，是链接世界各地的无形桥梁，是事关深海安全的重要因素，与互联网时代的经济社会发展息息相关，对于保障我国家安全具有重要意义。网页链接,4,6,54,719,3244.6万,m,,上海,上海,中国
4,5.03748E+15,南亚研究通讯,2024-5-24 9:00,印度：孟加拉，我的，东大你别插手孟加拉南部地区是该国最脆弱的地区之一。受极端气候和海平面上升的影响，该地区地理脆弱性十分突出，发展问题长期以来一直遭到忽视。因此，该地区亟需建设具有抗灾能力的基础设施和更好的互联互通，以利用该地区的经济潜力。中国作为该国第二大外援提供国，在孟加拉建设的帕德玛大桥、吉大港、勐拉港现已为孟经济发展提供重要支持，是中孟合作的典范和模板。2024年4月4日，孟加拉国总理谢赫·哈西娜会见中国驻孟加拉国大使姚文，请求中国投资南部地区的发展，帮助孟实现发展目标，引发印度学者警觉。印观察家研究基金会发文指出，印度将孟加拉湾视为主要利益领域之一，其经济和安全利益以及外交政策愿望都严重依赖于这一区域。中国在该国投资的增加有可能使其脱离印度，将进一步协助中国接近印度在孟加拉湾的海军资产和海洋利益，加剧印度的安全焦虑。南亚 #微博新知#  重磅 | 中国在孟加拉国“南部大开发”，看得老印心惊肉跳……,14,18,53,285,19.7万,m,斯里兰卡,,斯里兰卡,斯里兰卡
4,5.03713E+15,中国信息通信研究院,2024-5-23 9:38,【智算互联互通国标研究组成立，智融行动贯通智算产业链】为深入贯彻落实党中央、国务院关于算力基础设施建设的要求，统筹推进算力互联互通领域国际国内标准化工作，经全国智能计算标准化工作组批准成立算力互联互通研究组。2024年5月21日，全国智能计算标准化工作组算力互联互通研究组在北京成立。中国工程院院士郑纬民任研究组主任顾问，中国信息通信研究院（简称“中国信通院”）云计算与大数据研究所副所长栗蔚任研究组召集人。智算互联互通国标研究组成立，智融行动贯通智算产业链,0,0,0,430,4.7万,m,,,北京,中国
4,5.03686E+15,中国市场监管报,2024-5-22 16:10,【成渝地区交通运输标准体系发布】近日，交通运输部、市场监管总局、重庆市政府和四川省政府共同制定的《推动成渝地区双城经济圈综合交通运输高质量发展标准体系》（以下简称《标准体系》）发布。《标准体系》突出交通基础设施互联互通、运输服务一体衔接、运行管理协同联动三个方面的需求，包括50项重点标准（成渝两地联合立项、共同制定、协同发布的区域协同地方标准28项，以及鼓励先行先试、强化实施应用的国家标准和行业标准22项）。标准体系建设分为两个阶段：到2027年，基本建立起推动成渝地区综合交通运输高质量发展的标准体系；到2035年，构建起更加系统全面、先进适用、开放兼容的标准体系。成渝地区双城经济圈综合交通运输高质量发展标准体系建设，是推进区域标准化工作创新发展的有益探索，将有力推动成渝地区综合交通运输高质量发展，促进区域标准化协同创新。（记者 孙彦）,0,0,0,243,32.2万,m,,北京,北京,中国
4,5.03677E+15,乔志峰,2024-5-22 9:53,#一汽与蔚来官宣换电合作#这是个好消息，将推动共同推动建立统一的电池标准体系，同时还将推动换电运营网络、运营商之间的互联互通，推动建立统一的换电运营管理体系，搭建更大规模、标准化、统一性的能源基础设施网络，实现规模化优势，为新能源汽车产业的发展带来积极影响。 乔志峰的微博视频 ,7,9,95,4406,248.5万,m,陕西,西安,陕西,中国
4,5.03645E+15,见证西安地铁,2024-5-21 12:57,西咸一体化 西安市、咸阳市共同制定《推进西安都市圈发展资源规划联席会议制度》《关于推进西安—咸阳国土空间规划一体化试行规定》，不定期召开工作联席会议，协商西安—咸阳空间规划一体化重大事项，推动国土空间规划衔接、市政基础设施互联互通、开发保护“一张图”构建等工作。在总体规划布局方面，“两市一区”共同秉承“渭水贯都、以象天汉”营城理念，共同传承“秦风汉韵”历史文脉，通盘考虑城镇功能布局、城市风貌及城市设计，协同打造世界文化之都。在市政设施互通方面，“两市一区”梳理区域快速干道、主干路、次干路等交通骨架路网，解决毗邻区“断头路”“宽窄路”“错位路”等衔接问题，研究确定跨市域轨道交通线网路径，目前，已规划6条地铁线路贯通“两市一区”，总里程达到91.2公里。在国土空间“一张图”方面，“两市一区”拟定工作时间表，谋划工作路线图，并先行共享交通路网数据，构建道路交通规划“一张图”。,0,3,13,900,2.9万,m,陕西,,陕西,中国
4,5.03651E+15,冷雨夜1224,2024-5-21 16:24,黄河流域协同发展山东黄河流域各地充分发挥自身优势，推动协同发展，实现共赢发展。首先，加强流域内城市间的合作，促进交通、能源、通信等基础设施互联互通。其次，推动产业协作，形成产业链、价值链协同效应。再次，强化政策支持，推动流域内各类政策资源共享。最后，加强人才交流与合作，提高流域内人才水平。,0,0,0,81,1,m,山东,济宁,山东,中国
4,5.03648E+15,萌三少女,2024-5-21 14:25,#小鹏开启AI智驾时代# 小鹏汽车的AI天玑系统通过车联网技术，构建了一个智能出行生态系统。系统能够与其他车辆和交通基础设施进行信息交换，实现车与车、车与路的互联互通。通过车联网生态，用户可以享受到更智能的交通服务，如实时路况预警、智能避障等。车联网生态，让出行变得更加智能和高效。 ,0,0,0,49,22,m,广东,广州,广东,中国
4,5.03622E+15,宣城市场监督管理,2024-5-20 21:32,【《推动成渝地区双城经济圈综合交通运输高质量发展标准体系》发布】近日，交通运输部、市场监管总局、重庆市政府和四川省政府共同制定的《推动成渝地区双城经济圈综合交通运输高质量发展标准体系》（以下简称《标准体系》）正式发布。《标准体系》突出交通基础设施互联互通、运输服务一体衔接、运行 ... 网页链接,0,0,0,218,643,m,,宣城,安徽,中国
5,5.0361E+15,南京市场监管,2024-5-20 13:42,【国家市场监督管理总局推动中巴质量基础设施互联互通项目走深走实】5月13日，国家市场监督管理总局组织召开质量基础设施促进中巴互联互通视频研讨会。国家发展改革委国际合作中心、中国驻巴基斯坦大使馆经商处、全巴基斯坦中资企业协会（简称“全巴中资企业协会”）、在巴十余家中资企业等相关部门及企业代表参会。国家市场监督管理总局相关项目负责人介绍了总局近年在质量基础设施领域工作开展情况和项目推进情况。全巴中资企业协会、在巴中资企业代表围绕光纤网络、电机电器、机械设备等领域介绍了企业情况、在巴经营现状，以及在质量基础设施领域遇到的实际问题。中国驻巴基斯坦大使馆经商处对这次视频会议的召开表示支持，并提出相关工作建议。标准规则“软联通”是“硬联通”的有力支撑，是稳定经贸关系的推进器，是经贸合作的制度基础。下一步，国家市场监督管理总局将在中国驻巴基斯坦大使馆经商处的支持下，继续与在巴协会、在巴中资企业加强交流，积极提供政策和质量基础设施技术支撑，推动中巴全面长期合作。（来源：市说新语，审核：钱叶满，发布：程燕妮，设计：吴秀梅）,0,0,0,132,38.3万,m,,南京,江苏,中国
5,5.0361E+15,上海金融,2024-5-20 13:17,【上海清算所举办“金融基础设施对外开放”外资银行专场沙龙】近日，上海清算所举办“金融基础设施对外开放”外资银行专场沙龙，与会外资银行代表高度评价了上海清算所在响应市场诉求、推进银行间市场高质量发展方面开展的工作，围绕债券通、互换通等金融基础设施互联互通机制以及利率衍生品、信用衍生品、外汇等集中清算产品提出意见建议，并一致表示愿为上海清算所在境外申请合格中央对手方认证提供支持。网页链接,0,0,0,135,6.6万,m,,上海,上海,中国
5,5.03603E+15,南亚研究通讯,2024-5-20 9:00,要想坐稳南亚老大，印度得这样干印度作为传统的南亚地区大国，冷战后在国际舞台上日趋活跃，推进区域政治领导力的意愿与能力均显著增强。在长期睦邻外交实践中，印度将自己置于南亚政治网络的中心位置，通过发起区域互联互通倡议、强化基础设施援助与供给区域公共产品，强化区域领导力的合法性基础。但在大国地缘政治竞争背景下，印度主导的区域互联互通项目存在与中国“一带一路”倡议重叠竞争的压力。在南亚区域一体化合作方面，南盟区域组织发展受制于印度偏好而进程缓慢。长期以来，南亚区域合作中的印式领导力面临巴基斯坦的尖锐质疑，而且尼泊尔、不丹、斯里兰卡的战略追随也时常摇摆不定。为进一步夯实领导力的合法性基础，印度需要供给更高质量的区域公共产品以争取追随者的政治认同，同时消解因大国竞争与区域冲突所引发的不确定挑战。南亚 #微博新知#  研究 | 曹德军：人心散了队伍不好带了，印度想领导南亚咋办？,6,8,21,285,19.7万,m,斯里兰卡,,斯里兰卡,斯里兰卡
5,5.03549E+15,程有昆,2024-5-18 21:27,“中方认为全球基础设施领域的合作空间广阔，各类相关倡议不存在相互抗衡或者是彼此取代的问题。世界需要的是搭桥，而不是拆桥；是互联互通，而不是脱钩筑墙；是互利共赢，而不是封闭排他。中方欢迎一切有助于汇聚合力，促进全球基础设施建设的倡议。任何打着基础设施建设旗号，推进地缘政治的算计都不受欢迎，也不会得逞。”格局与谋略都具备时，,0,0,0,98,251,m,湖北,武汉,湖北,中国
5,5.03547E+15,第一球迷胖哥,2024-5-18 19:43,胖哥论坛#闽大评# 世界需要的是搭桥，而不是拆桥；是互联互通，而不是脱钩筑墙；是互利共赢，而不是封闭排他。中方欢迎一切有助于汇聚合力，促进全球基础设施建设的倡议。任何打着基础设施建设旗号，推进地缘政治的算计都不受欢迎，也不会得逞。#美学者眼红一带一路不是美国提出#【美智库高管眼红“一带一路”：我讨厌它，因为这绝妙构想不是美国提出】近年来“一带一路”倡议成果斐然，也令不少西方政客犯上了“红眼病”。在当地时间5月16日上午，美国众议院臭名昭著的“中国问题特设委员会”又召开了一场听证会，寻求对抗“一带一路”倡议的影响力。在这场以“条条大路通北京？中国的全球发展攻势”为主题的听证会上，作为证人参会的美国智库战略与国际研究中心（CSIS）高级副总裁丹尼尔·伦德（Daniel Runde）坦言，他“讨厌”中国的“一带一路”倡议，因为这是一个绝妙的构想，可它并非出自美国之手。 美智库高管眼红“一带一路”：我讨厌它，因为这绝妙构想不是美国提出,4,3,2,9974,30.6万,m,福建,厦门,福建,中国
5,5.03532E+15,一起看盘8519,2024-5-18 9:54,九紫离运，一般人都从离火出发来预测，今天讲讲火以外的离。离是南，以全球世界划分，南特指发展中国家，南南合作。离是网，上有太空到地球的联网，下有全球互联互通基础设施的网。离是丽，日丽中天，太阳光芒普照，各国平等代替单极世界。离色九紫，紫是可见光谱中最高频率，对应最短波长。科技会去到当前范式的顶峰。,0,0,0,13,6,m,广东,深圳,广东,中国
5,5.03513E+15,宣城市场监督管理,2024-5-17 21:33,【国家市场监督管理总局推动中巴质量基础设施互联互通项目走深走实】5月13日，国家市场监督管理总局组织召开质量基础设施促进中巴互联互通视频研讨会。国家发展改革委国际合作中心、中国驻巴基斯坦大使馆经商处、全巴基斯坦中资企业协会（简称“全巴中资企业协会”）、在巴十余家中资企业等相关部门及 ... 网页链接,0,0,0,218,643,m,,宣城,安徽,中国
5,5.03511E+15,西安晚报,2024-5-17 20:16,【#西安昆明路—连霍高速辅道快速通道通车#】5月17日，西安昆明路—连霍高速辅道快速化（西三环—西周大道）市政工程全段主线通车。该项目为市中心城区—西咸新区基础设施互联互通的重点建设工程，规划为城市快速路。项目东起西三环，西至西周大道，全长8.7公里，工程造价24.06亿元，分为连霍高速辅道和昆明路快速化改造两段建设。其中，连霍高速辅道（阿房宫收费站—西周大道）段由陕西交控集团作为联合体牵头人，中铁十四局集团第三工程有限公司、中铁十四局集团西北工程有限公司、陕西省交通规划设计研究院有限公司为联合体成员共同建设。采用地面层+高架桥的方式，地面层双向四车道，高架层双向六车道。昆明路（西三环—阿房宫收费站）段采用地面层+高架层的方式，地面层双向八车道，高架层双向六车道。（陕西交控集团）,0,0,0,308,661.8万,m,,西安,陕西,中国
5,5.03479E+15,汕头政务发布,2024-5-16 22:40,【冲！冲！冲！汕头加速推动综合立体交通网建设】当前，我市坚持重大项目牵引，加快推进交通基础设施互联互通，推动形成外联内畅、便捷高效的综合立体交通网，打造更高水平的全国性综合交通枢纽。在我市新建汕头站项目、汕汕铁路汕头站及站区工程、粤东城际铁路等重点项目建设现场，塔吊高耸、机器轰鸣、钢筋林立的火热场景随处可见，擂响了项目建设的“奋进鼓”，奋力冲刺上半年目标任务。冲！冲！冲！汕头加速推动综合立体交通网建设# 来源：汕头融媒集团,0,0,3,169,46.1万,m,,汕头,广东,中国
5,5.03471E+15,手上青秀,2024-5-16 17:36,【#防东铁路实现海上列车的浪漫# 这个夏天坐火车来看海吧】防东铁路，是广西壮族自治区境内防城港市至东兴市的Ⅰ级双线铁路、广西沿海高铁的延伸线、中越互联互通国际通道的重要组成部分。防东铁路正线长46.897公里，设计时速200公里，基础设施预留每小时250公里，全线设防城港北站、东兴市站，预留江山半岛站。又高效又美的海上列车，你会和谁一起乘坐呢？（来源：新浪广西）#发现最美铁路##520奔赴广西浪漫山海# 新浪广西的微博视频,0,0,0,542,24.7万,f,,南宁,广西,中国
6,5.03425E+15,KhmerTimes中文网,2024-5-15 10:47,数十年来，中国一直影响着全球供应链，并对亚洲的经济格局产生了深远影响。由于其优越的地理位置和不断扩大的经济规模，中国对柬埔寨产生了浓厚的兴趣，并影响着柬埔寨融入全球供应链。更好的互联互通、与世界其他国家和地区更紧密的经济联系以及吸引外国直接投资都是中国基础设施项目的优势所在。但是，柬埔寨应该考虑使其投资组合多样化，而不是仅仅依赖中国的资金。浏览全文点击：中国将持续保持对柬埔寨经济产生强势影响的地位,0,0,0,210,81,m,柬埔寨,,柬埔寨,柬埔寨
6,5.03394E+15,青白江区委党校_,2024-5-14 14:32,【奏响萨瓦河畔的“未来进行曲”——中国电建助力塞尔维亚“迈向未来”】近年来，中国和塞尔维亚务实合作成果日益丰硕，越来越多的中国企业参与到塞尔维亚基础设施建设中来。中国电建自2012年进入塞尔维亚市场以来，在塞实施项目累计达26个，合同额近40亿美元，已成为推动塞基础设施互联互通、加快绿色转型的骨干力量。（新华丝路网）,0,0,0,191,782,m,,成都,四川,中国
6,5.03225E+15,成都生态环境,2024-5-9 22:52,5月9日，成都市与雅安市签署《纵深推进成渝地区双城经济圈建设 共促成都雅安区域协同发展合作协议》。在推动基础设施互联互通、产业分工协作共兴、生态环境共建共治、公共服务共建共享等方面深化合作。网页链接 ,0,5,4,642,15.4万,m,,成都,四川,中国
