点赞数,评论数,转发数,发布时间,微博内容
6,0,5,2024-5-17 15:21,【天津港今年单船最大批量国产工程车辆出口“一带一路”共建国家】5月15日16时许，巴拿马籍“中兴门”轮缓缓驶离天津港第一港埠有限公司6段码头，驶向“一带一路”共建国家吉布提。该轮主要装载了自卸车、牵引车、油罐半挂车、洒水车等479辆国产工程车辆，是今年天津港单船最大批量国产工程车辆出口。（新华社）
7,0,5,2024-5-16 15:33,【中泰企业联合打造5G工厂 助力泰国数字化转型】美的空调泰国工厂是美的集团海外首个5G工厂，坐落于泰国春武里府，占地面积约20.8万平方米，整体规划年产能400万台套以上。据介绍，该工厂是美的联合中国联通、华为和泰国运营商AIS公司，汇聚了工业互联网、自动化、信息化、精益物流等实践经验打造的5G全连接智慧工厂。（新华社）
11,0,6,2024-5-15 15:07,【外交部：亚吉铁路为埃塞俄比亚、吉布提经济发展注入动力】亚吉铁路六年成就和未来展望发布会暨交钥匙仪式日前在埃塞俄比亚首都亚的斯亚贝巴举行。外交部发言人汪文斌5月14日在例行记者会上说，中方将继续同埃塞俄比亚、吉布提两国合作配合，把这条铁路建设成为促进合作共赢的繁荣之路。（新华社）
8,0,6,2024-5-14 14:45,【从泰国果园到中国市场 一颗榴莲的“北上之旅”】近年来，随着中国—东盟自由贸易区建设深入推进，《区域全面经济伙伴关系协定》（RCEP）全面生效，西部陆海新通道等一批互联互通项目加紧建设，以及跨境冷链物流体系和电商平台快速发展，各项通关便利条件和措施不断出台，使得榴莲等东盟水果进入中国市场更加高效便捷。（新华社）
7,0,5,2024-5-13 16:37,【中巴经济走廊上的中国电力“名片”】巴基斯坦默拉直流输电工程是中巴经济走廊“优先实施项目”和中巴经济走廊唯一电网项目。该工程自2018年12月1日开工建设，2021年9月1日正式投入商业运营，为巴基斯坦建设了一条南北向的能源输送大动脉。（新华社） 中国一带一路网的微博视频 
7,0,3,2024-5-11 16:06,【外国政企人士：中国新能源产业总能给人惊喜】近年来，中国新能源产业快速发展，这为全球带来了一场绿色风潮。外国政企人士目睹中国在风电、光伏、电动车等新能源技术领域的迅猛进步，纷纷表达了赞赏之情，他们感叹中国新能源产业总能给人惊喜。（新华网） 中国一带一路网的微博视频 
7,0,3,2024-5-10 15:06,【外资车企加码在华投资 共享中国机遇】5月8日晚间，辽宁沈阳华晨宝马大东工厂总装线上，一辆磨砂纯灰色创新纯电动BMW i5汽车缓缓驶出，宝蓝色的电子屏幕上，“600万辆”字样闪烁，现场掌声雷动。在德国宝马集团进入中国市场的第30个年头，华晨宝马汽车有限公司迎来第600万辆整车下线。（新华社）
6,0,5,2024-5-9 14:42,【中欧班列（义乌—马德里）开行十周年纪念号班列发车仪式在马德里举行】5月8日，中欧班列（义乌—马德里）开行十周年纪念号班列发车仪式在西班牙首都马德里举行，百余名嘉宾参加发车仪式并参观班列开行十周年成果展。该纪念号班列8日从马德里鸣笛发车，驶往中国义乌。（新华社） 中欧班列（义乌—马德里）开行十周年纪念号班列发车仪式在马德里举行 
12,0,4,2024-5-9 12:01,【中企承建的尼泊尔最大引水隧道主体提前一年贯通】5月8日，中国企业承建的尼泊尔最大引水隧道工程逊科西马林引水隧道主体提前一年顺利贯通。逊科西马林引水隧道全长13.3千米，建成后将逊科西河水引至马林河，灌溉德赖平原地区5个县共12.2万公顷农田。（新华社） 中企承建的尼泊尔最大引水隧道主体提前一年贯通 
14,0,4,2024-5-9 11:56,【奏响萨瓦河畔的“未来进行曲”——中国电建助力塞尔维亚“迈向未来”】近年来，中国和塞尔维亚务实合作成果日益丰硕，越来越多的中国企业参与到塞尔维亚基础设施建设中来。中国电建自2012年进入塞尔维亚市场以来，在塞实施项目累计达26个，合同额近40亿美元，已成为推动塞基础设施互联互通、加快绿色转型的骨干力量。（新华丝路网）
9,0,7,2024-4-30 17:31,【中国与格鲁吉亚互免签证协定将于5月28日生效】中国与格鲁吉亚关于互免持普通护照人员签证的协定将于5月28日生效。根据该协定，持有效的中华人民共和国普通护照或有效的格鲁吉亚普通护照，在缔约另一方入境、出境或者过境，单次停留不超过30日，每180日累计停留不超过90日，免办签证。（新华社）
13,0,5,2024-4-29 17:58,【18艘27.1万方LNG运输船！中国企业拿下全球最大单笔造船订单】中国船舶集团将为卡塔尔能源公司建造18艘27.1万立方米超大型LNG（液化天然气）运输船，签约仪式4月29日在京举行，创下全球最大单笔造船订单纪录。（新华社） 18艘27.1万方LNG运输船！中国企业拿下全球最大单笔造船订单 
3,0,2,2024-4-28 17:28,【驻华使节相约海南自贸港：“这里的开放很有吸引力！”】4月22日至26日，来自马达加斯加、保加利亚、芬兰、德国、印尼、科特迪瓦等15个国家的25名驻华大使、总领事和高级外交官，赴琼参加以“相约海南自贸港 携手世界再启航”为主题的“驻华使节地方行”活动。他们此行的共同感受是：“这里的开放很有吸引力！”（新华社）
6,0,5,2024-4-26 15:45,【重庆发布16条政策措施支持西部陆海新通道高质量发展】重庆市人民政府近日印发《重庆市支持西部陆海新通道高质量发展若干政策措施》通知，将通过实施16条政策措施，支持西部陆海新通道高质量发展。16条政策措施围绕支持出海出境大通道发展、培育壮大通道经济、加强物流基础设施体系建设、优化口岸物流营商环境四个方面。（新华社）
9,0,8,2024-4-25 15:48,【中国“幸福草”助力卢旺达青年实现创业梦】中国援卢农业技术示范中心于2011年正式运营，在当地示范和推广水稻、旱稻、菌草、水土保持和蚕桑养殖技术。据该中心农业专家郑瑞金介绍，来自中国的菌草在卢旺达被称为“幸福草”。通过中国的“幸福草”，不少卢旺达青年像穆希米伊马纳一样，实现了创业梦。（新华社）
10,0,3,2024-4-24 18:46,【中企承建格鲁吉亚南北走廊公路古多里隧道贯通】4月23日，由中铁隧道局承建的格鲁吉亚南北交通走廊科维谢提至科比段公路古多里隧道顺利贯通。格鲁吉亚总理科巴希泽在贯通仪式上表示，这条隧道是格鲁吉亚境内最大隧道，将有助于山区居民的冬季出行和货物运输，让当地居民和游客的出行更安全，极大助力格鲁吉亚经济发展。（新华社）
6,0,4,2024-4-23 17:37,【修路又建渠 马东铁“引水入涵”解民烦忧】马来西亚东海岸铁路项目是中马两国共建“一带一路”重点项目。在建设铁路的同时，中国交通建设集团有限公司积极履行企业社会责任。“坑洼的路面平坦了，道路积水不见了，出行终于方便了。感谢马东铁项目为我们村做了一件大好事。”马来西亚雪兰莪州双溪沙叻村村长伊赫万说。（新华社）
5,0,4,2024-4-22 15:29,【中国西北打造“一带一路”技术合作新高地】随着“一带一路”倡议持续推进，在石油炼化、太阳能开发、旱作农业等方面积累大量经验的甘肃省充分发挥地缘优势，持续加强与“一带一路”共建国家的技术合作，成为高质量共建“一带一路”的生动写照。（新华社） 中国西北打造“一带一路”技术合作新高地 
8,0,5,2024-4-19 15:42,【迎来五周年，“一带一路”税收征管合作机制成果丰硕】五年来，中国税务部门首倡发起的“一带一路”税收征管合作机制从亚欧大陆延伸到非洲、大洋洲和拉美，已增至36个理事会成员、30个观察员、20个联盟成员、14个合作方，合作机制“朋友圈”不断发展与壮大。（新华社） 迎来五周年，“一带一路”税收征管合作机制成果丰硕 
16,0,7,2024-4-18 14:36,【雅万高铁开通半年 客运量强劲增长】雅万高铁4月17日正式开通运营满半年，累计发送旅客256万人次，客流呈现强劲增长态势。据中国铁路国际有限公司数据，自2023年10月17日开通运营以来，雅万高铁已安全运营6个月，共开行动车组7050列，安全运行超126万公里。（新华社） 中国一带一路网的微博视频 
5,0,8,2024-4-17 16:33,【共建“一带一路”国家参展商消博会上寻商机】在第四届中国国际消费品博览会，来自共建“一带一路”国家的参展商纷纷带来具有异域风情的消费精品，在寻找商机的同时，展示多元文化魅力。（新华社） 中国一带一路网的微博视频 
4,0,3,2024-4-16 15:15,【外交部：中老铁路为促进地区繁荣按下“快进键”】日前，中老铁路国际旅客列车开行迎来一周年。外交部发言人林剑4月15日在例行记者会上表示，中方期待中老铁路不断跑出“加速度”，为促进地区繁荣按下“快进键”，绘就民心相通、发展相融的美丽画卷。（新华社） 外交部：中老铁路为促进地区繁荣按下“快进键” 
3,0,3,2024-4-15 16:24,【中欧班列累计开行超8.7万列】记者4月14日从中国国家铁路集团有限公司获悉，今年一季度，中欧班列累计开行4541列，发送货物49.3万标箱，同比分别增长9%、10%。截至2024年3月底，中欧班列已累计开行超8.7万列，通达欧洲25个国家222个城市。（新华社） 中欧班列累计开行超8.7万列 
10,0,6,2024-4-12 9:57,【首趟中老铁路（郑州—万象）国际货运列车按图运行】4月11日，随着满载机械零配件、陶瓷玻璃制品、纱布、冰柜、洗衣机等45个集装箱的80031次货运列车从国铁集团郑州局圃田站发出，标志着首趟中老铁路（郑州—万象）国际货运列车正式按图运行。据了解，中老铁路（郑州—万象）国际货运列车实行一周3列按图开行，平均运行6天。（新华社）
7,0,6,2024-4-11 14:37,【中国与格鲁吉亚签署互免签证协定】中国驻格鲁吉亚大使周谦与格鲁吉亚外交部长达尔恰什维利4月10日在第比利斯共同签署了中格关于互免持普通护照人员签证的协定。根据该协定，持有效的格鲁吉亚普通护照或有效的中华人民共和国普通护照，在缔约另一方入境、出境或者过境，单次停留不超过30日，每180日累计停留不超过90日，免办签证。（新华社）
7,0,4,2024-4-10 15:08,【中国#东盟#合作奏响命运与共华彩乐章】朋友越走越近，邻居越走越亲。中国与东盟是命运与共的好邻居、好朋友、好伙伴。在常来常往中，双方积极开展友好合作，不断增进理解互信，共同实现发展振兴，为地区和平发展注入稳定性和正能量。（新华社）  中国东盟合作奏响命运与共华彩乐章 
2,0,4,2024-4-9 11:13,【#第四届消博会#展台搭建有序推进】近日，第四届中国国际消费品博览会展台搭建工作在海南国际会展中心有序推进。据悉，以“共享开放机遇、共创美好生活”为主题的第四届中国国际消费品博览会将于4月13日至18日在海南省举行，将有来自59个国家和地区的3000多个品牌参展。（新华社） 
3,0,4,2024-4-8 11:10,【#西部陆海新通道#助力更多东盟水果进入中国市场】西部陆海新通道是中国西部省区市与东南亚国家合作打造的国际陆海贸易新通道，利用铁路、海运、公路等运输方式，向南经广西北部湾通达世界各地。近年来，中国与东盟国家依托西部陆海新通道建设的机遇，推动越来越多的东盟水果出口至中国市场。（新华社）
10,0,1,2024-4-7 17:32,【一季度阿拉山口口岸通行中欧班列数量和过货量实现双增长】今年一季度，新疆阿拉山口口岸通行中欧班列1809列，进出口过货量达391.3万吨，同比分别增长13.7%、17.4%，实现“双增长”。（新华社） 中国一带一路网的微博视频 
12,0,9,2024-4-3 10:39,【外交部：外国企业投资中国、深耕中国也必将赢在中国】外交部发言人汪文斌4月2日表示，今年中国经济的良好开局，成为当前世界经济的一道亮丽风景。中国开放的大门越开越大，中国大市场日益成为世界大机遇，外国企业投资中国、深耕中国，也必将赢在中国。（新华社） 中国一带一路网的微博视频 
4,0,4,2024-4-2 11:07,【中泰互免签证协定满月 乘中老铁路入境的泰国旅客快速增长】中泰两国互免持普通护照人员签证协定3月1日正式生效。截至3月31日，磨憨边检站当月共验放泰国籍旅客2100人次，其中磨憨铁路口岸验放629人次，乘中老铁路入境的泰国旅客快速增长。（新华社） 中国一带一路网的微博视频 
7,0,4,2024-4-1 14:56,【面向未来，中非携手推进多领域人才合作】近年来，在共建“一带一路”和中非合作论坛框架下，中国与非洲的人才合作日益深入，合作方式和领域不断丰富。从修建学校、捐赠设备，到分享先进职教经验和组织各领域培训，再到推进中非智库论坛、中非青年创新创业大赛等交流活动，鲁班工坊、孔子学院等众多人才合作重点项目落地，帮助非洲国家培养适应当地现代化需求的人才，为非洲大陆可持续发展注入新动力。（新华社）
3,0,6,2024-3-29 15:16,【进出口银行成功发行推进“一带一路”国际合作主题金融债券】3月28日，中国进出口银行在银行间债券市场成功发行推进“一带一路”国际合作主题金融债券。据介绍，此次债券发行金额为50亿元，获得了市场投资者的广泛参与和踊跃认购，募集资金将专项用于进出口银行“一带一路”国际合作类项目。（新华社）
3,0,4,2024-3-28 16:53,【第四届消博会亮点抢先看 首创全岛办展模式】以“共享开放机遇、共创美好生活”为主题的第四届中国国际消费品博览会将于4月13日至18日在海南省举行。这是2024年我国首场重大国际性展会，也是商务部“消费促进年”活动的一场“重头戏”。和往届相比，本届消博会有首创全岛办展模式、规模再创历史新高、活动更加丰富精彩三大亮点。（新华社）
9,0,3,2024-3-27 17:14,【中老铁路“澜湄快线”货物列车开行突破1000列】3月26日，中国铁路昆明局集团有限公司发布，中老铁路“澜湄快线”国际货物列车自2022年1月10日开行以来，截至目前，定点、定时、定线、定车次的中老铁路“澜湄快线”国际货物列车累计开行1000列，运输跨境货物量达到39.5万吨。（新华社）
3,0,3,2024-3-26 16:58,【一带一路故事绘 | 中企承建轻轨助力拉各斯绿色出行】尼日利亚拉各斯轻轨蓝线是西非地区首条由中国企业自主设计、建造、施工、运营的电气化城市轨道交通项目。蓝线所采用的全电力列车为通勤者提供了绿色、环保和节能的出行方式，有效减少了有害气体的排放，助推非洲绿色可持续发展。（新华社） 
3,0,2,2024-3-25 16:57,【徐建平：深化务实合作 中非共建“一带一路”前景广阔】国家发展和改革委员会区域开放司司长徐建平3月22日在肯尼亚首都内罗毕接受采访时表示，中国将不断同非洲国家深化务实合作，中非共建“一带一路”前景广阔、大有可为。徐建平说，十余年来，中国同非洲国家共建“一带一路”务实合作不断深入，建成了一批重大标志性工程项目和“小而美”民生项目，有力促进了非洲国家经济社会发展和民生改善。（中国一带一路网）
9,0,7,2024-3-22 16:30,【国际人士称赞中国高质量发展为世界带来机遇】近年来，中国加快构建新发展格局，着力推动高质量发展，在很多领域取得长足进步。这令观察中国经济发展的国际人士印象深刻，他们纷纷表示中国高质量发展给世界带来了机遇。一起听听他们具体是怎么说的。（新华网） 中国一带一路网的微博视频 
5,0,3,2024-3-21 16:55,【中国水稻专家助力斐济大米自给计划】斐济政府近年来一直致力于实现大米自给自足，以确保粮食安全。然而，受耕作方式、劳动力短缺和气候变化等因素影响，该国稻米产业面临挑战。自2015年以来，中国先后实施了三期农业援助项目，帮助斐济提高水稻产量。（新华社） 中国水稻专家助力斐济大米自给计划 
6,0,3,2024-3-20 17:58,【中老铁路国际货物列车开行超9000列】中国铁路昆明局集团有限公司统计数据显示，自2021年12月3日开通以来，截至今年3月19日，中老铁路国际货物列车已开行超9000列，累计运输跨境货物795万吨。今年以来，中老铁路货物运输量显著增长，1月1日至3月19日运输跨境货物115万吨，同比增长33.7%。（新华社）
9,0,4,2024-3-19 17:04,【普京胜选后答新华社记者问：俄中关系将继续深化发展】俄罗斯总统普京3月18日凌晨在竞选总部接受新华社记者提问时说，俄中关系将继续深化发展，取得新成就，造福两国人民。（新华社） 中国一带一路网的微博视频 
6,0,4,2024-3-18 15:03,【西部陆海新通道海铁联运班列今年开行突破2000列】3月17日上午，一列满载缅甸黑芝麻、海南椰子汁、广西白糖等货物的海铁联运班列，从钦州铁路集装箱中心站缓缓发出驶向四川城厢站。这是2024年西部陆海新通道开行的第2000列海铁联运班列，同比增长16.8%，提前14天完成一季度班列开行任务。（新华社）
4,0,4,2024-3-15 14:32,【中文助力安哥拉年轻人奔向更广阔天地】自2015年成立以来，内图大学孔子学院累计招收学员超2000人。内大孔院中方院长赵玉峰表示，在共建“一带一路”倡议下，中安两国合作日益密切，双方都非常重视语言文化交流。（新华社） 中文助力安哥拉年轻人奔向更广阔天地 
3,0,7,2024-3-14 14:59,【中国国产商用飞机ARJ21和C919亮相马来西亚】中国国产商用飞机ARJ21和C919日前飞抵位于马来西亚雪兰莪州的苏丹阿卜杜勒·阿齐兹·沙阿机场进行地面静态展示和演示飞行。（新华社） 中国国产商用飞机ARJ21和C919亮相马来西亚 
4,0,3,2024-3-13 18:00,【“小”咖啡里的“大”市场】中国不仅有源远流长的茶文化和势头正盛的“新茶饮”，“舶来品”咖啡同样“蹿红”，让世界看到了中国市场的海纳百川和旺盛需求。（新华社） 中国一带一路网的微博视频 
2,0,6,2024-3-12 14:41,【中巴农业合作助力巴基斯坦培育小麦新品种】近年来，在巴中两国共同努力下，巴基斯坦的基础设施和电力供应得到提升，未来在保障粮食安全方面大有可为，中国小麦育种技术的推广应用将让每个巴基斯坦人都受益。（新华社） 中巴农业合作助力巴基斯坦培育小麦新品种 
5,0,3,2024-3-11 14:38,【今年前两月我国共开行#中欧班列#2928列】今年1至2月，中欧班列累计开行2928列，发送货物31.7万标箱，同比分别增长9%、10%。截至2024年2月底，中欧班列国内出发城市达120个，通达欧洲25个国家219个城市。（新华社） 今年前两月我国共开行中欧班列2928列 
5,0,7,2024-3-8 14:45,【中欧班列（西安）跨境公铁联运班列实现常态化开行】3月7日，中欧班列（越南·河内—中国·西安—匈牙利·布达佩斯）跨境公铁联运班列从西安国际港站鸣笛发车，标志着中欧班列（西安）跨境公铁联运班列实现常态化开行。（新华社） 中国一带一路网的微博视频 
2,0,7,2024-3-7 14:49,【中国国产商用飞机ARJ21和C919首次亮相老挝】中国国产商用飞机ARJ21和C919日前首次飞抵老挝万象瓦岱国际机场，并在当地开展地面静态展示和演示飞行。（新华社） 中国国产商用飞机ARJ21和C919首次亮相老挝 
5,0,9,2024-3-6 17:29,由中国东方电气集团国际合作有限公司承包建设的泰国孔敬府乌汶叻水面漂浮光伏电站3月5日并网发电，助力泰国可再生能源发展。（新华社） 中企承建泰国水面漂浮光伏电站项目并网发电 
5,0,7,2024-3-5 16:46,【雅万高铁累计发送旅客突破200万人次】雅万高铁2023年10月17日正式开通运营。据中国铁路国际有限公司数据，截至3月3日，雅万高铁已安全运营139天，累计发送旅客2008387人次。（新华社） 雅万高铁累计发送旅客突破200万人次 
3,0,5,2024-3-4 15:04,【“希望埃塞能设立更多鲁班工坊”——一名埃塞“鲁班”的心声】埃塞鲁班工坊体现了埃塞与中国科技教育合作不断扩大的趋势，工坊不仅致力于提升埃塞工业能力，还成为整个东非地区相关能力建设的中心。（新华社） “希望埃塞能设立更多鲁班工坊”——一名埃塞“鲁班”的心声 
6,0,6,2024-3-1 16:17,【中企助力哈萨克斯坦建设智慧铁路】2月28日，华为-哈萨克斯坦国家铁路公司联合创新中心在哈首都阿斯塔纳正式成立，哈总统托卡耶夫为该中心揭幕并致辞。该中心将依托华为公司在人工智能、云、LTE等领域的先进技术和解决方案，助力哈萨克斯坦建设高效、安全、个性化和智慧的铁路系统。（新华社）
7,0,7,2024-2-29 16:51,【哈萨克斯坦总统考察哈鲁班工坊】哈萨克斯坦总统托卡耶夫2月26日在东哈萨克斯坦州考察，视察了位于当地的哈萨克斯坦鲁班工坊项目。哈萨克斯坦鲁班工坊占地700平方米，于2023年12月9日试运行。根据哈萨克斯坦专业技术人才需求，工坊首期建设运输设备及技术专业，建有四大实训区，开发了5门标准课程。（新华社）
5,0,5,2024-2-28 18:38,【中阿经贸联委会第八次会议召开】中国—阿联酋经贸联委会第八次会议2月27日在阿联酋首都阿布扎比召开。会议由中国商务部部长王文涛与阿联酋经济部部长玛尔伊共同主持。双方就加快落实两国元首达成的重要共识，共同推动中阿高质量共建“一带一路”深入交换意见。（新华社） 中阿经贸联委会第八次会议召开 
4,0,4,2024-2-27 16:51,【塞中友谊结出实实在在的硕果——访塞拉利昂信息与公民教育部长巴赫】巴赫表示，中国提出的共建“一带一路”倡议为塞拉利昂带来切实利益。他赞赏中国作为“全球南方”一员为全球发展所作的贡献，也感谢中国支持塞拉利昂在联合国等国际组织中发挥作用。（新华社） 塞中友谊结出实实在在的硕果——访塞拉利昂信息与公民教育部长巴赫 
2,0,7,2024-2-26 17:02,【专家热议以共建“一带一路”深化中匈友好关系】“高质量共建‘一带一路’主题研讨会”近日在匈牙利首都布达佩斯举行。与会专家认为，在共建“一带一路”框架下，中国和匈牙利在政治、经济等各领域合作都取得长足发展，建议以共建“一带一路”继续深化中匈友好关系。（新华社） 中国一带一路网的微博视频 
4,0,7,2024-2-23 15:38,【专访：共建“一带一路”对纳米比亚至关重要——访纳米比亚贸工部执行主任西孔戈·海汉博】纳米比亚贸易和工业部执行主任西孔戈·海汉博日前在首都温得和克接受新华社记者专访时说，推动共建“一带一路”对纳米比亚经济发展产生重大影响，是纳米比亚及其他非洲国家经济进一步增长的关键因素。（新华社）
5,0,4,2024-2-22 15:43,【冷链班列里的“交流热度”——龙年首趟中老泰冷链班列抵渝的背后】冷链班列常态化运行的背后，折射了中国与东盟之间进出口的“交流热度”。近年来，西部陆海新通道优势不断凸显，孕育出更大的商机。（新华社） 冷链班列里的“交流热度”——龙年首趟中老泰冷链班列抵渝的背后 
9,0,6,2024-2-21 16:25,【中企承建柬埔寨首都跨河大桥项目开工】中国企业承建的柬埔寨百达隆巴萨河大桥项目2月19日在首都金边举行开工仪式。该项目位于金边市南部，全长1650米。项目设计采用双向四车道，并设置两条摩托车道和两条人行道。（新华社） 中国一带一路网的微博视频 
4,0,9,2024-2-20 17:57,【“丝路电商”合作先行区建设在沪提速】创建“丝路电商”合作先行区是上海提升“五个中心”能级的重大机遇，上海不少企业和机构聚焦“引进来”和“走出去”，积极探索“丝路电商”合作先行区建设。（新华社） “丝路电商”合作先行区建设在沪提速 
7,0,6,2024-2-19 15:58,【春节运输不停歇 霍尔果斯口岸今年中欧（中亚）班列通行数量达到1000列】2月18日，一列满载日用百货、机械配件、纺织面料等货物的中欧班列从霍尔果斯铁路口岸驶出，开往波兰马拉舍维奇，这标志着霍尔果斯口岸今年通行中欧（中亚）班列数量达到1000列，比去年同期提前4天完成该数量。（新华社）
9,0,5,2024-2-18 16:53,【中老铁路升温春节假期赴老跨境游】2024年，中老铁路国际旅客列车迎来自2023年4月13日开通后的首个春运。不少游客选择春节假期乘坐中老铁路国际旅客列车跨境旅行，让老挝沿线旅游业进一步发展升温。（新华社） 
6,0,7,2024-2-9 11:47,【温暖迎春 全球共庆中国年——龙年春节庆祝活动在多国举行】龙年春节是联合国大会通过决议将农历新年列为联合国假日后的首个新年。我驻外使领馆举办丰富多彩的新春招待会活动，“欢乐春节”庆祝活动在多国举行，与各国民众共庆中国农历龙年春节，在交流互鉴中感受世界文明的多姿多彩。（新华社）
7,0,8,2024-2-7 17:38,【与中国免签为这个国家旅游增添“新”动力】2023年，中国大陆共到访新加坡136万人次，旅游消费近23.3亿新元，成为新加坡第二大国际客源地和最大的旅游收入来源地。新加坡旅游局预测，2024年入境旅客总量将达到1500万至1600万人次，带来约260亿新元至275亿新元的旅游收益。（新华社）
7,0,6,2024-2-6 16:27,【热销春节市场！智利“鸿运果”为啥成“年货标配”？】近年来，车厘子似乎已成为“年货标配”。智利是全球最重要的车厘子生产国和出口国之一，其盛产季正好赶上中国的元旦和春节，因而成为中国节庆热销的“鸿运果”。智利车厘子在中国的走红，在很大程度上得益于中国和智利两国的贸易关系。（新华社）
8,0,5,2024-2-5 17:07,【斐济发行中国农历龙年生肖邮票】南太平洋岛国斐济2月3日举行中国农历龙年生肖邮票及首日封发行仪式。发行仪式在距首都苏瓦20公里的瑙索里广场举行。斐济总统卡托尼韦雷在致辞中向中国人民表达了龙年祝福。他说，此次活动是一次文化展示的良机，是两国人民友谊的见证。（新华社）
4,0,8,2024-2-4 14:52,【国家发展改革委同国际竹藤组织签署共建“一带一路”合作谅解备忘录】为落实第三届“一带一路”国际合作高峰论坛务实合作成果，1月29日，国家发展改革委副主任刘苏社与国际竹藤组织总干事阿里·穆秋姆代表双方共同签署共建“一带一路”合作谅解备忘录。下一步，双方将在政策沟通、伙伴关系、对话交流等方面深化务实合作，推进高质量共建“一带一路”。（国家发展改革委公众号）
8,0,8,2024-2-2 15:39,【中越举办跨国春节联欢晚会】1月29日和30日，2024年中越跨国春节联欢晚会暨边民大联欢活动在中国云南省红河州河口县和越南老街省老街市举办。中越双方边民2000多人通过线上或线下的方式观看本次活动，一同庆祝即将到来的新春佳节。（新华社） 中国一带一路网的微博视频 
3,0,7,2024-2-1 15:02,【中国将在内陆省份湖南打造对非合作高地】《中非经贸深度合作先行区建设总体方案》近日获批，积极支持湖南省建设中非经贸深度合作先行区。这是继中国—非洲经贸博览会长期落户湖南后，该省承担的又一大对非合作国家级平台，标志着中国将在内陆地区打造对非合作高地。（新华社） 中国将在内陆省份湖南打造对非合作高地 
